Title,price,rating,reviews,Link,description,manufacturer,ASIN
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"₹1,199.00",4.1 out of 5 stars,"51,380 ratings",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675457543&sprefix=ba%2Caps%2C283&sr=8-3,"Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant , not Waterproof    Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters    Number of Wheels: 0, Number of compartments: 3    Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of    Mesh pockets on both sides to accommodate your sipper or bottle and umbrella    Mesh Padding on back & shoulder strap to provide comfort & better back support",,B084JGJ8PF
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹565.00,4.3 out of 5 stars,"9,233 ratings",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1675457543&sprefix=ba%2Caps%2C283&sr=8-4,"30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.    Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.    Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.    Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks    1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty    Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.","Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039",B08Z1HHHTD
Skybags Brat Black 46 Cms Casual Backpack,₹669.00,4.1 out of 5 stars,"3,373 ratings",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675457543&sprefix=ba%2Caps%2C283&sr=8-5,"Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,",RetailEZ Pvt Ltd,
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹499.00,3.9 out of 5 stars,463 ratings,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675457543&sprefix=ba%2Caps%2C283&sr=8-6,Material: Water Resistant Light-Weight Polyester    Compartments: 2 with padding; Laptop Size: 15.6 inch and below    Dimensions: LxWxH - 12.5 x 7.5 x 19 inches    Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders    Closure Type: Zipper,Appario Retail Private Ltd,
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",₹699.00,3.9 out of 5 stars,"2,191 ratings",https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1675457543&sprefix=ba%2Caps%2C283&sr=8-7,"HIGH QUALITY FABRIC: Our lightweight yet durable bags are made of 100% polyester and water resistant fabric. This casual backpack can be by boys and girls for school, college, coaching, tution, or everyday outings.    FRONT POCKET: Our trendy unisex bag pack has a front storage pocket that keeps small items neatly organized and easy to access    MESH POCKET: Our fancy and stylish backpacks have mesh pockets on both sides to accommodate your water bottle and umbrella    COMFORT: Our 26 liter bag has mesh padding on back to help carry heavy items. It also provides superior comfort with padded adjustable shoulder straps    WARRANTY: All of our bags come with 1-year International Warranty against manufacturing defects",RetailEZ Pvt Ltd,B09TPX22NF
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹889.00,4.3 out of 5 stars,"5,318 ratings",https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1675457543&sprefix=ba%2Caps%2C283&sr=8-8,"MATERIAL - We use Highest Quality of Artificial Leather which is Durable, Long Lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life.    Waterproof - With this unisex duffle bag, you can be rest assured that none of your belongings will be damaged by rain or accidental splashes. The interiors of this water-resistant travel duffle bag remain free from moisture even if you get caught in an unexpected shower.    Dimensions: 47 x 28 x 27 CM. Volume Capacity - 35 Litres. Huge Spacious Compartment    Design - This stylish yet utilitarian textured leatherette duffle bag can be used for corporate travel as well as to take to the gym. The Large Spacious Compartment is suitable for 3-4 days weekender or business trip, can be used as a carry-on flight bag as well.    Warranty - 100% Genuine Fur Jaden Men Bags, 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty against Manufacturing Defects",RetailEZ Pvt Ltd,B09B29F66W
DEIN KLEIDER Men's Nylon Messenger Bag,₹349.00,4.0 out of 5 stars,"4,398 ratings",https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1675457543&sprefix=ba%2Caps%2C283&sr=8-9,"ERGONOMIC DESIGN: This ergonomic bag features zippered security pockets in the front, back and main compartment. The front pockets can be used to hold personal items like identification cards, keys and more while the extra pocket located in the back can be used for the storage of sleek items like mobile devices. The main storage pocket also has enough room to hold your gadgets, small water bottle cables, chargers etc. This bag can fit tablets and devices with screen sizes of up to 10.5.    WATER, DIRT & SLASH RESISTANT: This cross body bag by Dein Kleider is ideal for people who are adventurous and always on the go. Its padded storage is resistant to water, dirt and even a slash by sharp objects, so you dont have to worry about anything. This bag is durable and heavy duty, ensuring that your gadgets and valuables are safely stored.    CRAFTED IN INDIA: Dein Kleider cross body sling is crafted with perfection by professional Indian artisans in an elegant style that makes your presence truly class apart. Its an ideal companion for a comfortable all day carry to school/college, malls, morning walk, office and meetings. It can also be easily used as travel accessory for a train or bus journey.    Outer Material Type: Nylon",Dein Kleider,B07M9BRCQ5
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹349.00,4.1 out of 5 stars,"7,635 ratings",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1675457543&sprefix=ba%2Caps%2C283&sr=8-10,"Made of multi-coated 600D polyester Material ; Water Repellent    Dimension: 26cm x 38cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters    Small Size backpack; Laptop Compatibility: No    This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more    With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books    6 months limited warranty","Korrun India Pvt. Ltd, Plot No.25, P2(4&X), 1st Phase, Bidadi Industrial area, Bangalore-562109, Karnataka",B084ZHP97M
IPad Sleeves Bag 29cm x 23 CM x 3 CM Universal Canvas Collection of Bags,₹562.00,Previous page,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Mjk0NzcyNDQzOTgxNDY0OjE2NzU0NTc1NDM6c3BfbXRmOjIwMDk3Njc1NDMzNjk4OjowOjo&url=%2FIPad-Sleeves-Universal-Canvas-Collection%2Fdp%2FB0BMLWQ9H3%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675457543%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Each of our design lines is hand-crafted to give a personalized touch    We use unique & innovative approaches to select some of the finest materials.    Our product line is one of the most cost-effective among all the competitors.    OCCASION: Fashion City shoulder bag for daily and travel use. Perfect for dating, shopping, working, traveling, vacation, party and other occasions. Because of its good color it can go with pretty much any outfit you can think of, or pair with",UNIVERSAL CANVAS,B088XB5XY8
Anti Theft Faux Leather,₹499.00,3.9 out of 5 stars,51 ratings,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Mjk0NzcyNDQzOTgxNDY0OjE2NzU0NTc1NDM6c3BfbXRmOjIwMTA3NTYxNjY3MTk4OjowOjo&url=%2FAnti-Theft-Faux-Leather-Black%2Fdp%2FB08WLS5XBP%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675457543%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Anti-Theft backpack has added safety features for you laptop and other precious devices.; Hidden pockets at one side give you quick access to items like cellphones, IDs, or other handy things that you frequently need, and you don’t have to take off your backpack to get it.     Design Featuring padded handles and shoulder straps, zipper compartments and bottle holders, this bag comes with everything you need to tackle your daily commute.     Compartments This backpack has two pockets in the front for non essentials as well as two water bottle holders on the outside. The laptop stow compartment has been provided with ample layers of protective padding to protect your valuable laptop. The bag can be opened partially around 90° for quick access or can be fully opened around 180° for complete access with everything visible at a glance, no more groping around in the bag.     Material This synthetic possesses many properties that make it a very useful fiber in many applications. It retains its shape rather well, which ensures longevity of the garment. This material is very responsive and resilient as well as relatively resistant to heat, UV rays and chemicals.; Water Resistance Level: Water Resistant; Age Range Description: Adult; Strap Type: Adjustable; Lining Description: Polyurethane     Pattern Name: Solid",,B0BMLWQ9H3
